job_name,input_files,num_cores,walltime,analysis_codes,analysis_versions,hardware_type,command
myJob1,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob2,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob3,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob4,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob5,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob6,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob7,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob8,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob9,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob10,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob11,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob12,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob13,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob14,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob15,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob16,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob17,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob18,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob19,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob20,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob21,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob22,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob23,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob24,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob25,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob26,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob27,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob28,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob29,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob30,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob31,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob32,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob33,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob34,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
myJob35,case1.in;mesh.msh,4,24,openfoam_plus;ansys_mechanical,v2312+-intelmpi;2024r2,emerald,touch test.txt
